slug,bodyBytes,styleBlocks,styleBytes,scriptBlocks,scriptBytes,externalCss,externalJs
tneamatrix.frame-0,82922,2,14591,2,1483391,1,0
tneapc.frame-0,82922,2,14591,2,1483391,1,0
tnea.frame-0,120173,2,175158,2,878552,0,0
tnea2026.frame-0,120173,2,175158,2,878552,0,0
josaa.frame-0,249076,2,12133,2,402124,0,1
tnea-cutoff.frame-0,72037,2,14854,3,377921,1,0
dasa-admissions-guide.frame-0,62059,2,22662,2,175779,1,4
dasa-seat-matrix.frame-0,635667,2,11787,2,180474,0,1
mbamca-program.frame-0,307745,2,15232,2,119652,1,1
tnea-simulator.frame-0,73862,2,6820,2,116892,1,0
josaa-assessment.frame-0,28259,2,14003,2,105562,1,1
student-assessment.frame-0,26361,2,14003,2,102898,1,1
tancet-pulse.frame-0,1683,2,20922,2,89427,1,1
nirf-ranking.frame-0,105698,2,14005,2,89889,0,1
stream-selection.frame-0,36152,3,12217,2,70532,1,0
homepage.frame-0,17191,2,58984,1,237,1,0
conflict-assessment.frame-0,44828,2,11781,2,22371,1,1
exam-schedule.frame-0,90381,3,12440,2,17664,0,0
annanri.frame-0,88696,2,19844,2,7347,0,0
amrita-aeee.frame-0,61385,2,14846,2,11681,1,0
cat.frame-0,50684,2,211,2,23433,0,0
internship-programs,452402,4,12432,6,8048,3,0
dasa-admissions-guide,983143,4,12432,6,8016,3,0
annanri,580754,4,12432,6,8009,3,0
nirf-ranking,746753,4,12432,6,7898,3,0
dasa-seat-matrix,1016933,4,12432,6,7870,3,0
root,427291,4,12432,6,7826,3,0
stream-selectionea,255984,4,12432,6,7786,3,0
contact-us,347863,4,12432,6,7769,3,0
conflict-assessment,501308,4,12432,6,7650,3,0
student-assessment,560262,4,12432,6,7648,3,0
professional-exam,372918,4,12432,6,7646,3,0
josaa-assessment,572099,4,12432,6,7644,3,0
stream-selection,530519,4,12432,6,7644,3,0
josaaea-members,255761,4,12432,6,7643,3,0
mbamca-program,752042,4,12432,6,7641,3,0
tnea-simulator,611312,4,12432,6,7640,3,0
viteee-for-nri,444491,4,12432,6,7640,3,0
exam-schedule,494031,4,12432,6,7638,3,0
join-our-team,328657,4,12432,6,7638,3,0
tancet-pulse,550593,4,12432,6,7636,3,0
amrita-aeee,472153,4,12432,6,7634,3,0
tnea-cutoff,1795471,4,12432,6,7634,3,0
tneamatrix,5106673,4,12432,6,7633,3,0
tnea2026,2984371,4,12432,6,7629,3,0
homepage,472275,4,12432,6,7628,3,0
tneapc,5107074,4,12432,6,7625,3,0
iiits,402531,4,12432,6,7622,3,0
josaa,1370091,4,12432,6,7622,3,0
nata,381637,4,12432,6,7620,3,0
tnea,2984417,4,12432,6,7620,3,0
cat,410480,4,12432,6,7618,3,0
nid,435926,4,12432,6,7618,3,0
professional-exam.frame-0,14174,2,10692,2,4116,0,0
nid.frame-0,37015,2,10972,2,3790,0,0
nata.frame-0,18200,2,7037,2,6308,0,0
viteee-for-nri.frame-0,49746,2,11946,1,237,0,0
root.frame-0,36122,2,10190,2,643,0,0
iiits.frame-0,29718,2,9663,2,787,0,0
join-our-team.frame-0,6185,2,4497,1,237,0,0